id,type,width,height,area,sheet_id,job_name,timestamp
stress_test_shapes_SCRAP_1,RIGHT_TRIANGLE,300.0,500.0,75000.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_2,RIGHT_TRIANGLE,300.0,500.0,75000.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_3,SCRAP,1404.0,304.0,426816.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_5,SCRAP,604.0,200.0,120800.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_6,SCRAP,504.0,200.0,100800.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_7,SCRAP,616.0,138.0,85008.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
stress_test_shapes_SCRAP_9,SCRAP,216.0,366.0,79056.0,SHEET-STRESS,stress_test_shapes,2026-03-31T16:59:18.819721
ManualEntry_SCRAP_1,RIGHT_TRIANGLE,400.0,600.0,120000.0,SHEET-MANUAL,ManualEntry,2026-03-31T17:02:39.852908
ManualEntry_SCRAP_2,RIGHT_TRIANGLE,400.0,600.0,120000.0,SHEET-MANUAL,ManualEntry,2026-03-31T17:02:39.852908
